country_name,ep_start,ep_end,outcome_label,prch_label,ddcg_event_years,matched,bermeo_category_primary,bermeo_category_secondary,precise_start_date,precipitating_event,precise_end_date,consequential_events,source_url,confidence
Philippines,2001,2005,Democratic breakdown,Yes,NA,FALSE,Election-day fraud,Executive aggrandizement,May 2004,"During vote canvassing for the May 2004 election, President Gloria Macapagal Arroyo allegedly held wiretapped conversations discussing manipulation of returns to secure her win, revealed publicly in mid-2005 as the ""Hello Garci"" scandal.","September 6, 2005","A House impeachment complaint against Arroyo was blocked on September 6, 2005 by her coalition-dominated House despite polls showing most Filipinos believed she cheated, allowing her to consolidate power.",https://en.wikipedia.org/wiki/Hello_Garci_scandal,Medium
Bangladesh,2002,2007,Democratic breakdown,Yes,2007,TRUE,Strategic harassment,Open-ended coup,"October 16, 2002","The BNP government under PM Khaleda Zia launched ""Operation Clean Heart,"" a nationwide crackdown that also targeted political opponents, detaining Awami League leaders, followed by an indemnity ordinance shielding security forces from prosecution.","January 11, 2007","A dispute over caretaker-government leadership triggered violent unrest and cancellation of the January 2007 election; the military installed Fakhruddin Ahmed's caretaker government under a state of emergency, remaining beyond its constitutional term.",https://en.wikipedia.org/wiki/Operation_Clean_Heart,Medium
Central African Republic,2003,2004,Autocracy deepening,No,2003,TRUE,Open-ended coup,Promissory coup,"March 15, 2003","General Francois Bozize led fighters to seize Bangui while President Ange-Felix Patasse was abroad; rebels captured the airport and presidential palace with minimal resistance, forcing Patasse into exile.",December 2004,"Bozize proclaimed himself president, suspended the constitution, and formed a transitional ""union government""; a new constitution was approved by referendum in December 2004, leading to elections in 2005 that Bozize won.",https://en.wikipedia.org/wiki/2003_Central_African_Republic_coup_d'etat,Medium
Liberia,2003,2004,Autocracy deepening,No,NA,FALSE,Other/unclear,NA,August 2003,"President Charles Taylor resigned and went into exile on 11 August 2003 under military pressure from the LURD/MODEL rebel siege of Monrovia; the Accra Comprehensive Peace Agreement was signed about a week later, installing an unelected power-sharing transitional government.",Late 2004,"The National Transitional Government of Liberia continued to rule without elections through 2004 while controlling little real territory, with UN peacekeeping/disarmament consolidating ahead of the October 2005 elections.",https://en.wikipedia.org/wiki/Second_Liberian_Civil_War,Low
Thailand,2003,2007,Democratic breakdown,Yes,2006,TRUE,Promissory coup,Open-ended coup,19 September 2006,"On 19 September 2006, while PM Thaksin Shinawatra was in New York, General Sonthi Boonyaratglin led the Royal Thai Army in a coup, suspending the 1997 constitution and dissolving parliament and the Constitutional Court.",23 December 2007,"The junta installed an interim civilian PM, drafted a new constitution, dissolved Thaksin's party and banned its executives from politics, then held elections as promised on 23 December 2007.",https://en.wikipedia.org/wiki/2006_Thai_coup_d'etat,High
Bosnia and Herzegovina,2004,2007,Democratic erosion,Yes,NA,FALSE,Other/unclear,Executive aggrandizement,June 2004,"In June 2004, High Representative Paddy Ashdown used internationally granted ""Bonn Powers"" to dismiss 58 Bosnian public officials in a single day, an unelected international administrator overriding elected domestic institutions.",2007,"The US-brokered ""April Package"" constitutional reform failed in the House of Representatives by two votes in April 2006; the October 2006 election brought Milorad Dodik's SNSD to power in Republika Srpska on a platform resistant to further centralization.",https://en.wikipedia.org/wiki/Office_of_the_High_Representative,Low
Sri Lanka,2004,2006,Democratic breakdown,Yes,NA,FALSE,Executive aggrandizement,NA,November 2005,"Mahinda Rajapaksa narrowly won the 17 November 2005 presidential election, aided by an LTTE-enforced boycott suppressing Tamil votes likely favoring his rival; Rajapaksa then allied with Sinhalese nationalist parties opposed to devolution and the peace process.",July 2006,"On 21 July 2006 the LTTE closed the Mavil Aru reservoir; the Sri Lankan military responded with an offensive, collapsing the 2002 ceasefire and returning the country to full-scale civil war, cementing war-footing centralization of power.",https://en.wikipedia.org/wiki/Mahinda_Rajapaksa,Medium
North Macedonia,2005,2012,Democratic breakdown,Yes,NA,FALSE,Strategic harassment,Executive aggrandizement,2005,"Macedonia's 2005 local elections were marred by irregularities per international observers; the 5 July 2006 parliamentary election, won by Nikola Gruevski's VMRO-DPMNE coalition, began consolidating media and security-sector control.",2012,"By the early 2010s, after consecutive VMRO-DPMNE wins (2006, 2008, 2011), independent media access had shrunk sharply and Gruevski had installed loyalists atop the intelligence service, cementing one-party institutional capture.",https://en.wikipedia.org/wiki/Nikola_Gruevski,Medium
Türkiye,2005,2017,Democratic breakdown,Yes,NA,FALSE,Executive aggrandizement,Strategic harassment,October 2007,"A 2007 military ""e-memorandum"" opposed AKP's presidential candidate, precipitating a snap election AKP won; on 21 October 2007 voters approved a referendum shifting presidential selection to direct popular vote, the first legal step in Erdogan's consolidation.",16 April 2017,"After the failed 15 July 2016 coup attempt, a state of emergency enabled mass dismissals of judges, officers, and civil servants; the 16 April 2017 referendum replaced the parliamentary system with an executive presidency.",https://en.wikipedia.org/wiki/Recep_Tayyip_Erdogan,High
Bolivia,2006,2020,Democratic breakdown,Yes,NA,FALSE,Executive aggrandizement,Election-day fraud,January 2009,"In January 2009 Bolivians approved a new constitution establishing a centralized ""plurinational state""; Morales later moved to eliminate term limits, culminating in a November 2017 Constitutional Tribunal ruling permitting unlimited reelection despite a 2016 referendum rejecting this.",October 2020,"Morales resigned November 2019 amid a disputed election that an OAS audit found showed ""sufficient evidence of election fraud""; Senator Jeanine Anez assumed the presidency without quorum, and elections were finally held October 2020.",https://en.wikipedia.org/wiki/Evo_Morales,Medium
Fiji,2006,2007,Autocracy deepening,No,2006,TRUE,Open-ended coup,NA,December 2006,"On 5 December 2006, military forces led by Commodore Frank Bainimarama seized government buildings and placed ministers of PM Laisenia Qarase's government under house arrest, ousting the elected government.",January 2007,"President Iloilo, reinstated January 2007, formally appointed Bainimarama as interim prime minister, installing a military-backed government that indefinitely postponed elections until 2014.",https://en.wikipedia.org/wiki/2006_Fijian_coup_d'etat,High
Honduras,2006,2010,Democratic breakdown,Yes,NA,FALSE,Promissory coup,Open-ended coup,June 2009,"Acting on a sealed Supreme Court arrest warrant over President Manuel Zelaya's push for a referendum on a constitutional assembly, soldiers stormed the presidential residence on 28 June 2009, detained Zelaya, and flew him into exile.",January 2010,Congress installed its president Roberto Micheletti as interim leader and allowed the previously scheduled November 2009 elections to proceed; Porfirio Lobo won and was inaugurated January 2010.,https://en.wikipedia.org/wiki/2009_Honduran_coup_d'etat,High
Hungary,2006,2025,Democratic breakdown,Yes,NA,FALSE,Executive aggrandizement,Strategic harassment,April 2010,"In the April 2010 election, Viktor Orban's Fidesz won a two-thirds supermajority, used to draft a new Fundamental Law behind closed doors, debated for only nine days and passed on a party-line vote; the constitution took effect 1 January 2012.",Ongoing,"Over the following decade Fidesz redrew electoral districts, installed loyalists on media and courts, and transferred control of state universities to Orban-aligned foundations; Orban's 16-year rule ended when Fidesz lost the April 2026 election.",https://en.wikipedia.org/wiki/Viktor_Orban,High
Palestine/West Bank,2006,2008,Democratic breakdown,Yes,NA,FALSE,Executive coup,Executive aggrandizement,June 2007,"After Hamas's forcible takeover of Gaza in June 2007, President Mahmoud Abbas declared a state of emergency on 14 June 2007, dissolved the Hamas-led unity government, and installed Salam Fayyad as PM by decree, bypassing the Hamas-majority legislature.",Ongoing,The Fayyad emergency government continued ruling the West Bank by decree with the legislature no longer functioning; Abbas's presidential term was extended without new elections.,https://en.wikipedia.org/wiki/2006_Palestinian_legislative_election,Medium
Ecuador,2007,2013,Democratic erosion,Yes,NA,FALSE,Executive aggrandizement,Strategic harassment,September 2007,Constituent Assembly elections held 30 September 2007 gave Rafael Correa's PAIS Alliance a large majority; when the Assembly convened in November 2007 it assumed plenary powers superseding the sitting opposition-controlled Congress.,February 2013,"Ecuadorians approved a new constitution in a September 2008 referendum expanding presidential decree powers, after Congress had already voted to remove all nine Constitutional Court judges; Correa was re-elected by landslide in 2013.",https://en.wikipedia.org/wiki/Rafael_Correa,High
Papua New Guinea,2007,2013,Democratic breakdown,Yes,NA,FALSE,Executive aggrandizement,Open-ended coup,August 2011,"While PM Michael Somare was hospitalized abroad, Parliament declared his office vacant in August 2011 and elected Peter O'Neill prime minister, triggering a dispute over who legitimately held executive power.",August 2012,"After the Supreme Court twice ruled Somare remained the lawful PM, the O'Neill government defied the rulings, had the Chief Justice arrested on sedition charges, and survived a January 2012 mutiny attempt; the crisis was settled by the 2012 general election.",https://en.wikipedia.org/wiki/2011-2012_Papua_New_Guinean_constitutional_crisis,Medium
South Korea,2008,2014,Democratic erosion,Yes,NA,FALSE,Strategic harassment,NA,December 2012,"In the run-up to the 19 December 2012 election, National Intelligence Service agents covertly posted online comments and coordinated conservative civic groups to boost ruling-party candidate Park Geun-hye and disparage rival Moon Jae-in.",2014,"A prosecutorial raid on NIS headquarters led to the indictment of NIS director Won Sei-hoon and Seoul's police chief for election interference, but Won's conviction came long after Park had already taken office.",https://en.wikipedia.org/wiki/2012_NIS_public_opinion_manipulation_scandal,Medium
Mali,2008,2013,Democratic breakdown,Yes,NA,FALSE,Promissory coup,Open-ended coup,21 March 2012,"On 21 March 2012, mutinying soldiers led by Captain Amadou Sanogo, angered by the government's handling of the Tuareg rebellion, stormed the presidential palace and seized power.",August 2013,"President Amadou Toumani Toure resigned 8 April 2012; the junta transferred power to interim civilian leadership, and after a French-backed military intervention, Ibrahim Boubacar Keita won the July-August 2013 election.",https://en.wikipedia.org/wiki/2012_Malian_coup_d'etat,High
Indonesia,2009,2025,Democratic breakdown,Yes,NA,FALSE,Executive aggrandizement,Strategic harassment,September 2019,"On 17 September 2019, Indonesia's parliament, with President Jokowi's backing, passed a hastily deliberated revision to the KPK law that stripped the Corruption Eradication Commission of independent investigative authority.",October 2024,"In October 2023, the Constitutional Court chaired by Jokowi's brother-in-law carved out an age-limit exception letting Jokowi's son Gibran run for vice president; Prabowo-Gibran won the February 2024 election and were inaugurated October 2024.",https://en.wikipedia.org/wiki/Corruption_Eradication_Commission,Medium
India,2009,2025,Democratic breakdown,Yes,NA,FALSE,Executive aggrandizement,Strategic harassment,May 2014,"Narendra Modi's BJP won an outright parliamentary majority in May 2014, beginning a trajectory that, especially after 2019 re-election, saw sedition/anti-terror laws and agencies increasingly deployed against opposition figures amid a reshaped pro-government media landscape.",Ongoing,"The August 2019 revocation of Jammu and Kashmir's special autonomy, and the 2018 Electoral Bonds funding scheme (struck down by the Supreme Court in February 2024), were landmark aggrandizing moves; V-Dem downgraded India to ""electoral autocracy"" in 2021.",https://en.wikipedia.org/wiki/Democratic_backsliding_in_India,Medium
Madagascar,2009,2010,Autocracy deepening,No,2009,TRUE,Open-ended coup,Promissory coup,March 2009,"After weeks of opposition protests led by Antananarivo mayor Andry Rajoelina against President Marc Ravalomanana, the military stormed the presidential palace on 16 March 2009 and forced Ravalomanana to hand power to a military directorate, which transferred it to Rajoelina.",March 2010,"Rajoelina was sworn in as president of a High Transitional Authority on 21 March 2009; the African Union suspended Madagascar and called the takeover an ""attempted coup,"" and promised elections were repeatedly delayed until 2013.",https://en.wikipedia.org/wiki/2009_Malagasy_political_crisis,High
Niger,2009,2010,Democratic breakdown,Yes,2009,TRUE,Executive aggrandizement,Promissory coup,June 2009,"On 20 June 2009, President Mamadou Tandja assumed ""special powers"" and pushed through an illegal constitutional referendum removing presidential term limits, after the Constitutional Court ruled the referendum illegal and he dissolved the National Assembly.",February 2010,"On 18 February 2010, a military junta led by Col. Salou Djibo ousted Tandja; the junta publicly promised elections and restored civilian democratic rule, culminating in Mahamadou Issoufou's March 2011 inauguration.",https://en.wikipedia.org/wiki/2010_Nigerien_coup_d'etat,High
Burundi,2010,2016,Autocracy deepening,No,NA,FALSE,Executive aggrandizement,Strategic harassment,July 2010,"In the July 2010 election, Pierre Nkurunziza ran unopposed after opposition parties boycotted the vote citing fraud in preceding communal elections, cementing CNDD-FDD's uncontested dominance.",July 2015,"After Nkurunziza announced a third-term bid in April 2015, validated by the Constitutional Court despite Arusha Accords term limits, a failed May 2015 military coup was followed by a violent crackdown; Nkurunziza won a boycotted July 2015 election.",https://en.wikipedia.org/wiki/Pierre_Nkurunziza,Medium
Maldives,2010,2017,Democratic breakdown,Yes,NA,FALSE,Executive aggrandizement,Promissory coup,February 2012,"On 7 February 2012, President Mohamed Nasheed resigned amid a 22-day opposition protest and a mutiny in which police joined demonstrators following his controversial arrest of the Chief Justice; VP Mohamed Waheed assumed power in what Nasheed called a coup, though an inquiry found no supporting evidence.",February 2018,"Abdulla Yameen won the November 2013 runoff and from 2014-2017 jailed opposition leaders and Supreme Court justices, imposed states of emergency, and blocked opposition parties from contesting elections.",https://en.wikipedia.org/wiki/Mohamed_Nasheed,Medium
Serbia,2010,2025,Democratic breakdown,Yes,NA,FALSE,Executive aggrandizement,Strategic harassment,May 2012,"In the May 2012 elections, Tomislav Nikolic won the presidency and the SNS-led coalition topped parliamentary elections, bringing Aleksandar Vucic into the center of power; SNS subsequently built dominance over media and state institutions.",Ongoing,"Freedom House downgraded Serbia from ""Free"" to ""Partly Free"" in 2019 and reclassified it a ""hybrid regime"" in 2020; disputed 2020, 2023, and 2024 elections and mass protests in 2024-2025 have continued amid documented irregularities favoring the ruling party.",https://en.wikipedia.org/wiki/Serbian_Progressive_Party,Medium
Ukraine,2010,2014,Democratic breakdown,Yes,NA,FALSE,Executive aggrandizement,Strategic harassment,October 2010,"On 1 October 2010, Ukraine's Constitutional Court, packed with Yanukovych loyalists, annulled the 2004 constitutional reforms and restored the strong presidential system of the 2006 constitution, removing ""the last legal obstacle"" to concentration of power by President Yanukovych.",February 2014,"After Yanukovych's November 2013 refusal to sign the EU Association Agreement sparked the Euromaidan protests and nearly 100 protesters were killed in February 2014, he fled Kyiv on 21 February 2014 and parliament voted to remove him the next day.",https://en.wikipedia.org/wiki/Viktor_Yanukovych,High
